States/UTs,District,Constituency,Year,Murder,Culpable Homicide,Rape,Kidnapping & Abduction,Dacoity,Robbery,Criminal Trespass/Burglary,Theft,Unlawful Assembly,Riots,Criminal Breach of Trust,Cheating,Forgery,Counterfeiting,Arson,Grievous Hurt,Acid attack,Dowry Deaths,Sexual Harassment,Cruelty,Causing Death by Negligence,Extortion,Incidence of Rash Driving,HumanTrafficking,Unnatural Offence,Other IPC crimes,Total crimes against SCs,Voyeurism,Stalking,Abetment of Suicides of Women,Immoral Traffic Prevention Act,Total_Count
Bihar,Bhagalpur,Pirpainti,2019,31,1,105,41,28,33,68,8,10,78,0,14,74,18,25,21,30,17,43,32,48,0,3,8,25,132,75,89,6,25,6,1094
Bihar,Bhagalpur,Kahalgaon,2019,63,35,111,34,27,60,18,2,45,14,33,39,21,16,25,96,20,29,161,35,34,23,42,1,15,39,11,42,35,45,34,1205
Bihar,Bhagalpur,Bhagalpur,2019,57,37,149,81,54,18,33,49,19,16,39,62,40,9,21,40,14,18,123,13,30,5,21,5,27,138,54,75,47,72,2,1368
Bihar,Bhagalpur,Sultanganj,2019,65,52,49,57,11,32,21,13,27,26,33,42,39,5,19,22,25,33,18,15,1,33,3,11,21,13,15,49,40,3,0,793
Bihar,Bhagalpur,Nathnagar,2019,30,29,22,24,14,25,7,11,33,13,25,31,8,14,2,40,30,32,42,31,28,18,23,17,16,25,2,17,44,18,11,682
Bihar,Banka,Amarpur,2019,45,25,51,8,3,0,3,1,12,7,37,3,23,13,22,63,17,2,56,19,14,4,12,23,14,78,5,25,17,12,11,625
Bihar,Banka,Dhoraiya,2019,26,15,29,13,7,42,14,11,29,46,53,12,42,7,6,47,8,13,53,17,29,10,58,0,33,54,6,17,21,12,31,761
Bihar,Banka,Banka,2019,93,35,45,58,52,10,13,7,14,15,4,31,24,12,12,40,11,10,32,52,0,2,1,5,4,19,7,11,17,33,6,675
Bihar,Banka,Katoria,2019,90,55,73,30,8,39,71,30,59,5,20,4,17,7,11,30,29,6,18,13,0,13,13,11,12,88,16,5,1,0,16,790
Bihar,Banka,Belhar,2019,93,24,49,14,16,11,58,61,11,1,0,14,15,27,21,32,9,11,59,20,17,7,52,18,10,57,12,1,0,5,30,755
Bihar,Munger,Tarapur,2019,48,14,28,18,5,7,35,3,18,2,15,11,8,14,5,47,13,11,45,3,2,12,10,15,17,53,6,24,13,21,19,542
Bihar,Munger,Munger,2019,91,16,56,5,1,67,9,9,12,2,24,23,11,6,9,34,26,9,45,15,10,11,5,1,2,50,8,7,0,5,3,572
Bihar,Munger,Jamalpur,2019,33,20,67,20,11,19,6,34,2,0,5,9,27,11,4,17,13,2,41,5,14,2,11,12,2,34,7,6,8,8,0,450
Bihar,Lakhisarai,Suryagarha,2019,37,4,59,28,33,26,17,47,25,0,0,9,11,0,1,35,0,4,63,12,17,22,6,2,1,57,41,21,52,20,22,672
Bihar,Lakhisarai,Lakhisarai,2019,36,4,15,13,6,11,3,21,8,0,2,1,5,12,11,31,0,11,4,12,6,3,12,1,0,28,8,5,10,13,4,296
Bihar,Sheikhpura,Sheikhpura,2019,47,20,33,12,25,21,7,18,13,21,14,2,3,4,1,18,0,7,13,11,2,6,10,7,0,21,2,1,12,8,2,361
Bihar,Sheikhpura,Barbigha,2019,40,10,23,0,4,5,3,21,2,4,0,1,2,9,12,25,6,9,21,4,1,2,0,7,6,32,8,17,0,15,10,299
Bihar,Nalanda,Asthawan,2019,61,25,49,162,23,82,14,32,3,1,24,87,80,7,18,41,19,42,102,32,13,31,51,21,23,83,25,23,26,75,28,1303
Bihar,Nalanda,Biharsharif,2019,80,44,108,152,5,83,13,112,13,0,53,72,45,11,4,59,7,19,27,19,44,5,0,5,31,110,4,90,46,16,5,1282
Bihar,Nalanda,Rajgir,2019,12,51,60,144,55,75,14,29,34,66,39,27,84,10,11,19,5,1,6,44,35,10,15,4,21,83,19,91,51,14,2,1131
Bihar,Nalanda,Islampur,2019,10,23,125,168,67,56,40,25,29,21,1,22,90,17,1,38,3,18,7,59,49,32,41,18,34,133,79,0,49,36,4,1295
Bihar,Nalanda,Hilsa,2019,79,55,87,7,52,26,14,76,27,22,2,78,30,20,22,105,26,9,83,23,38,0,33,30,2,1,31,18,5,74,28,1103
Bihar,Nalanda,Nalanda,2019,81,20,31,7,55,93,74,81,21,53,39,19,79,17,13,61,14,28,118,7,18,32,37,25,30,14,36,45,28,30,38,1244
Bihar,Nalanda,Harnaut,2019,30,36,31,116,26,73,46,8,44,11,32,17,41,24,14,26,7,38,97,48,8,9,17,22,17,124,60,51,49,1,23,1146
Bihar,Patna,Mokama,2019,82,28,75,79,15,14,74,85,32,71,53,9,14,13,24,49,24,29,44,23,27,21,3,13,8,136,44,88,29,76,24,1306
Bihar,Patna,Barh,2019,84,26,57,7,23,73,68,62,40,30,45,23,60,10,12,55,8,46,72,3,40,19,39,27,27,136,71,42,24,54,14,1297
Bihar,Patna,Bakhtiarpur,2019,60,26,87,95,12,36,25,116,7,34,37,41,41,4,10,85,17,28,27,53,35,31,29,0,34,123,64,11,16,13,35,1232
Bihar,Patna,Digha,2019,99,19,81,114,61,67,10,0,35,12,18,79,32,23,24,27,12,23,164,5,48,14,47,2,17,93,35,16,9,81,10,1277
Bihar,Patna,Bankipur,2019,40,21,112,50,16,109,44,108,37,17,38,24,41,3,12,51,16,42,169,1,7,16,9,17,9,101,73,79,26,11,9,1308
Bihar,Patna,Kumhrar,2019,62,26,140,83,57,7,22,60,57,12,45,85,27,25,25,62,24,27,58,17,16,20,9,25,10,97,40,41,1,17,2,1199
Bihar,Patna,Patna Sahib,2019,1,54,72,64,38,72,47,32,48,91,11,48,89,23,7,55,22,5,49,12,26,15,49,30,19,138,8,89,33,78,16,1341
Bihar,Patna,Fatuha,2019,26,23,91,65,55,53,8,29,55,72,15,27,76,7,0,104,12,42,98,4,12,14,35,18,21,68,27,12,35,70,37,1211
Bihar,Patna,Danapur,2019,75,10,33,167,46,16,65,118,60,17,17,80,28,27,2,49,19,50,177,13,43,23,33,28,6,54,75,82,32,14,14,1473
Bihar,Patna,Maner,2019,123,16,87,81,59,41,16,106,24,47,9,6,23,11,18,75,6,2,45,6,30,30,4,14,30,65,76,69,24,18,11,1172
Bihar,Patna,Phulwari,2019,10,1,88,65,24,65,40,76,9,60,43,63,37,12,17,52,8,30,158,29,3,9,26,15,10,61,49,35,10,17,39,1161
Bihar,Patna,Masaurhi,2019,83,50,128,58,21,59,8,6,34,47,26,87,54,10,11,41,27,20,16,24,28,24,48,11,23,57,38,88,29,33,21,1210
Bihar,Patna,Paliganj,2019,27,11,129,29,71,89,68,73,26,36,47,48,31,29,3,45,19,40,24,11,11,27,38,11,4,53,19,0,23,42,40,1124
Bihar,Patna,Bikram,2019,39,22,138,4,43,24,23,70,28,25,49,43,83,12,12,110,18,22,59,36,27,22,45,23,8,41,48,94,43,78,37,1326
Bihar,Bhojpur,Sandesh,2019,60,53,82,25,43,115,36,95,37,39,14,62,29,18,6,47,11,32,4,13,46,31,59,23,14,103,74,31,0,74,21,1297
Bihar,Bhojpur,Barhara,2019,91,42,118,118,73,112,2,72,8,59,45,60,63,26,24,33,9,32,68,3,26,25,16,15,10,108,59,83,43,92,19,1554
Bihar,Bhojpur,Arrah,2019,72,11,64,116,70,65,52,27,40,2,10,63,30,15,1,59,16,33,40,50,21,11,33,8,10,57,1,25,9,90,25,1126
Bihar,Bhojpur,Agiaon,2019,1,41,33,58,65,27,23,114,38,39,5,24,35,17,9,11,15,14,99,9,4,12,2,13,0,70,6,17,11,30,37,879
Bihar,Bhojpur,Tarari,2019,3,9,130,58,7,113,52,20,13,39,41,48,9,8,9,75,18,18,89,18,24,11,31,22,24,50,19,11,49,55,35,1108
Bihar,Bhojpur,Jagdishpur,2019,0,9,33,17,67,57,17,38,32,23,47,7,23,25,23,45,17,24,33,19,0,5,11,6,9,13,31,9,10,25,3,678
Bihar,Bhojpur,Shahpur,2019,15,47,35,135,12,6,61,44,18,16,1,28,57,10,2,9,7,19,2,54,8,25,18,28,16,13,3,31,14,7,15,756
Bihar,Buxar,Brahampur,2019,63,9,58,61,58,86,47,4,51,14,33,22,21,13,6,31,15,32,16,14,24,34,13,21,0,33,0,3,4,7,6,799
Bihar,Buxar,Buxar,2019,14,29,66,17,39,23,2,0,18,80,37,87,16,24,24,13,26,26,45,18,25,31,37,7,29,2,1,9,0,24,17,786
Bihar,Buxar,Dumraon,2019,41,8,44,15,3,5,6,7,13,11,4,8,13,10,9,31,3,1,24,13,22,21,10,28,18,35,0,9,2,13,6,433
Bihar,Buxar,Rajpur,2019,4,30,96,10,60,66,52,55,11,49,20,38,21,11,8,19,11,10,11,15,2,16,1,0,5,12,7,10,16,1,2,669
Bihar,Kaimur,Ramgarh,2019,20,35,30,15,33,12,26,15,26,10,29,25,2,5,25,9,12,6,43,38,19,8,5,4,10,12,78,25,32,38,18,665
Bihar,Kaimur,Mohania,2019,19,4,18,83,15,10,4,8,2,20,20,33,1,23,18,6,17,7,33,25,49,22,4,14,23,19,50,78,27,16,13,681
Bihar,Kaimur,Bhabua,2019,44,5,41,15,3,5,6,7,13,11,4,8,13,10,9,36,3,1,24,13,24,21,10,28,18,35,0,9,2,32,16,466
Bihar,Kaimur,Chainpur,2019,20,10,25,23,3,1,2,4,13,0,0,0,8,9,12,0,2,8,20,11,6,7,4,3,9,1,10,5,3,2,8,229
Bihar,Rohtas,Chenari,2019,17,1,80,136,43,40,32,29,5,75,26,57,89,29,0,34,26,13,134,15,28,19,9,7,22,48,66,93,4,83,8,1268
Bihar,Rohtas,Sasaram,2019,60,18,25,23,75,17,66,23,34,67,18,7,6,12,6,42,5,0,56,6,5,29,32,26,19,45,3,11,10,33,20,799
Bihar,Rohtas,Kargahar,2019,55,24,44,42,15,58,34,53,8,4,5,11,4,10,9,19,25,14,55,23,31,9,50,5,33,35,9,43,30,15,19,791
Bihar,Rohtas,Dinara,2019,2,45,2,87,27,26,14,2,6,48,8,69,51,24,7,67,20,2,56,35,22,21,21,11,33,138,17,55,4,45,26,991
Bihar,Rohtas,Nokha,2019,43,3,71,55,65,8,25,22,48,31,21,17,6,19,25,31,26,29,2,12,38,11,1,28,7,44,0,3,14,32,4,741
Bihar,Rohtas,Dehri,2019,90,47,113,120,31,52,1,40,28,47,52,9,23,21,15,98,5,32,166,19,45,17,12,18,0,29,30,56,43,37,23,1319
Bihar,Rohtas,Karakat,2019,43,16,22,17,35,17,9,13,59,33,18,62,44,6,25,5,18,22,53,32,36,3,0,26,3,25,71,4,21,33,20,791
Bihar,Arwal,Arwal,2019,17,10,31,23,3,1,2,4,13,0,0,0,8,9,12,0,2,8,20,15,6,7,4,3,10,1,7,5,3,2,6,232
Bihar,Arwal,Kurtha,2019,33,11,10,8,13,25,20,15,10,4,6,20,0,3,16,11,4,1,7,7,10,14,7,11,2,12,0,5,3,5,0,293
Bihar,Jehanabad,Jehanabad,2019,47,43,27,9,6,0,8,45,2,33,24,28,3,1,0,13,6,20,27,15,46,28,9,3,0,35,18,13,11,8,21,549
Bihar,Jehanabad,Ghosi,2019,25,33,0,7,28,15,7,43,33,44,13,27,15,7,24,9,17,21,22,6,1,17,41,19,18,14,49,15,34,8,25,637
Bihar,Jehanabad,Makhdumpur,2019,30,12,6,14,1,10,25,8,3,10,4,8,7,11,2,16,21,3,11,0,10,7,2,2,1,31,8,9,14,1,0,287
Bihar,Aurangabad,Goh,2019,13,13,15,13,7,9,1,20,4,17,10,16,25,11,6,14,25,7,69,3,31,8,29,23,30,55,0,7,5,11,21,518
Bihar,Aurangabad,Obra,2019,70,36,9,93,70,16,36,12,5,13,24,14,3,24,23,54,14,9,80,13,3,0,8,20,12,73,13,11,5,10,12,785
Bihar,Aurangabad,Nabinagar,2019,63,18,5,24,0,2,17,6,24,5,15,8,28,27,22,30,13,12,33,46,35,1,0,14,16,53,27,31,23,30,17,645
Bihar,Aurangabad,Kutumba,2019,47,8,77,76,30,27,11,40,0,61,21,43,89,6,14,33,21,12,21,20,4,33,34,15,20,123,39,34,4,10,2,975
Bihar,Aurangabad,Aurangabad,2019,79,25,82,11,6,15,32,0,25,3,14,2,26,3,19,11,3,14,67,15,44,13,7,17,14,55,27,68,43,38,14,792
Bihar,Aurangabad,Rafiganj,2019,75,30,59,86,13,8,39,29,1,53,2,0,9,4,0,30,30,27,39,25,13,3,17,27,13,31,14,5,12,1,8,703
Bihar,Gaya,Gurua,2019,17,18,1,23,24,38,22,17,21,70,14,33,44,11,4,22,1,15,10,3,14,25,50,13,3,57,9,35,23,15,11,663
Bihar,Gaya,Sherghati,2019,34,45,97,1,7,24,28,112,44,60,0,82,85,19,3,45,21,39,145,50,6,1,13,9,19,140,76,77,42,49,40,1413
Bihar,Gaya,Imamganj,2019,24,42,26,54,18,27,16,62,55,0,55,67,29,26,10,64,4,45,163,14,38,32,31,23,9,9,49,41,11,92,11,1147
Bihar,Gaya,Barachatti,2019,88,12,130,16,55,40,51,59,57,67,22,66,87,26,4,89,3,9,96,15,29,3,17,3,32,7,64,0,35,38,18,1238
Bihar,Gaya,Bodh Gaya,2019,66,9,116,5,7,7,64,65,46,78,15,39,62,19,1,12,14,37,161,11,5,17,37,13,28,130,7,69,45,48,24,1257
Bihar,Gaya,Gaya Town,2019,66,7,125,106,65,25,74,105,41,30,4,4,47,7,4,99,17,33,2,49,11,24,23,26,2,18,6,77,38,41,9,1185
Bihar,Gaya,Tikari,2019,17,35,31,34,25,14,13,7,31,13,25,5,0,5,24,16,22,36,45,15,7,23,28,6,4,20,18,19,5,47,20,610
Bihar,Gaya,Belaganj,2019,76,12,45,127,48,96,7,127,1,83,10,14,87,1,22,19,10,30,32,33,34,30,55,28,34,58,16,53,26,33,6,1253
Bihar,Gaya,Atri,2019,25,43,58,102,33,21,18,15,4,13,7,4,0,15,14,8,19,25,15,31,42,29,20,15,9,13,75,79,5,0,7,764
Bihar,Gaya,Wazirganj,2019,11,18,33,30,31,9,27,61,8,0,32,7,47,5,0,59,7,41,86,13,45,14,19,4,19,2,1,5,23,21,10,688
Bihar,Nawada,Rajauli,2019,18,13,30,24,6,32,9,85,16,84,15,3,41,6,9,40,15,24,77,24,17,11,30,8,28,25,29,35,13,2,1,770
Bihar,Nawada,Hisua,2019,38,7,36,6,23,17,28,41,2,14,29,17,37,5,5,42,19,28,80,23,44,0,27,3,32,21,6,7,15,2,8,662
Bihar,Nawada,Nawada,2019,26,33,63,24,1,0,7,18,15,25,26,2,27,18,8,28,30,15,31,23,10,0,5,0,30,44,77,10,3,6,36,641
Bihar,Nawada,Gobindpur,2019,46,35,9,31,38,4,50,80,25,13,1,20,2,26,10,47,1,2,41,2,15,11,13,5,14,46,3,2,0,13,10,615
Bihar,Nawada,Warsaliganj,2019,40,27,55,80,12,8,9,32,15,14,5,8,2,12,4,24,13,9,37,20,5,14,18,2,9,32,15,18,3,5,10,557
Bihar,Jamui,Sikandra,2019,0,13,35,55,4,20,11,15,5,10,20,31,30,18,15,39,29,21,45,38,18,7,58,3,22,67,53,6,3,67,37,795
Bihar,Jamui,Jamui,2019,71,46,98,166,10,5,67,17,15,12,8,0,0,11,14,34,11,28,50,15,13,1,11,2,6,30,0,20,14,10,1,786
Bihar,Jamui,Jhajha,2019,2,10,38,77,75,36,60,88,7,10,36,71,24,16,24,45,23,1,2,1,10,2,2,11,9,35,11,9,7,5,3,750
Bihar,Jamui,Chakai,2019,3,1,31,13,25,10,15,18,12,25,36,6,2,22,4,0,25,0,66,15,13,33,9,7,13,3,66,44,45,18,40,620
Chhattisgarh,Koriya,Bharatpur-Sonhat,2019,8,14,38,5,26,5,36,6,36,51,19,35,16,11,9,33,10,22,63,13,4,13,16,14,6,44,39,24,22,17,17,672
Chhattisgarh,Koriya,Manendragarh,2019,17,18,1,23,24,38,22,17,21,70,14,33,44,11,4,22,1,15,10,3,14,25,50,13,3,57,9,35,23,15,11,663
Chhattisgarh,Koriya,Baikunthpur,2019,0,5,7,18,4,58,47,24,5,48,27,20,44,6,8,37,13,18,9,12,26,15,55,10,0,43,9,35,23,11,5,642
Chhattisgarh,Surajpur,Premnagar,2019,11,15,33,15,34,46,32,59,16,3,15,15,1,11,5,27,11,22,29,39,18,29,48,0,26,16,27,24,16,25,0,668
Chhattisgarh,Surajpur,Bhatgaon,2019,19,6,26,11,9,19,25,57,30,22,12,10,6,4,10,32,16,12,13,14,47,5,18,5,6,33,32,18,9,22,15,563
Chhattisgarh,Balrampur,Pratappur,2019,33,19,26,15,18,14,5,69,23,23,32,22,30,20,0,9,0,11,56,33,5,6,21,16,32,56,28,27,13,22,2,686
Chhattisgarh,Balrampur,Ramanujganj,2019,26,20,14,22,13,2,13,4,13,28,9,17,21,18,1,1,15,19,14,56,44,6,31,16,26,68,44,24,13,21,9,628
Chhattisgarh,Balrampur,Samri,2019,37,12,47,15,34,49,16,33,35,77,12,19,45,13,14,14,8,22,28,41,25,5,21,0,18,46,50,36,8,18,17,815
Chhattisgarh,Surguja,Lundra,2019,130,17,117,4,32,31,55,83,1,63,1,2,46,9,13,60,1,0,78,34,31,5,2,17,20,85,55,27,16,13,15,1063
Chhattisgarh,Surguja,Ambikapur,2019,60,8,50,17,14,26,40,41,39,49,23,1,14,18,2,3,4,29,48,35,18,3,20,18,16,66,8,36,21,9,1,737
Chhattisgarh,Surguja,Sitapur,2019,75,12,47,16,28,22,44,42,30,17,22,11,50,20,8,17,7,16,52,2,28,6,21,19,14,67,25,29,18,20,28,813
Chhattisgarh,Jashpur,Jashpur,2019,4,11,30,28,23,6,38,73,3,76,34,37,9,0,11,40,14,8,69,27,11,9,7,17,11,20,21,23,18,8,14,700
Chhattisgarh,Jashpur,Kunkuri,2019,24,3,16,14,8,36,7,71,14,84,2,12,15,4,14,17,4,16,53,1,30,0,52,4,16,15,46,18,23,8,2,629
Chhattisgarh,Jashpur,Pathalgaon,2019,12,15,17,11,29,65,0,53,9,37,20,22,43,16,5,60,9,42,3,23,45,28,4,7,2,67,24,31,5,22,9,735
Chhattisgarh,Raigarh,Lailunga,2019,19,16,25,30,13,54,24,22,1,16,6,38,8,19,13,20,3,23,73,39,3,18,56,18,29,88,1,2,4,8,8,697
Chhattisgarh,Raigarh,Raigarh,2019,24,8,42,23,16,65,34,43,32,4,11,3,4,11,6,44,18,36,54,44,7,12,15,9,33,90,2,40,0,18,1,749
Chhattisgarh,Raigarh,Sarangarh,2019,25,18,15,16,25,2,38,13,36,57,16,32,11,8,3,42,11,34,87,36,4,30,14,17,30,18,48,27,22,14,3,752
Chhattisgarh,Raigarh,Kharsia,2019,24,1,47,8,12,60,10,90,5,53,29,38,47,16,6,13,12,41,68,33,1,3,38,19,23,15,26,0,25,13,11,787
Chhattisgarh,Raigarh,Dharamjaigarh,2019,6,13,1,5,31,20,10,26,30,42,34,18,40,13,6,44,20,22,53,43,50,9,26,6,13,2,22,1,3,12,1,622
Chhattisgarh,Korba,Rampur,2019,27,14,5,2,13,27,6,22,31,71,34,33,5,1,7,33,0,46,52,31,49,10,47,18,7,11,8,3,17,20,1,651
Chhattisgarh,Korba,Korba,2019,28,4,17,21,17,47,31,32,28,52,18,40,0,4,4,25,9,10,90,32,6,24,13,3,34,67,8,0,20,11,1,696
Chhattisgarh,Korba,Katghora,2019,11,20,26,17,18,17,34,65,14,14,31,40,45,4,13,49,20,23,77,2,15,21,4,2,13,60,8,16,2,3,11,695
Chhattisgarh,Korba,Pali-Tanakhar,2019,10,6,23,11,4,62,6,32,10,82,19,22,12,18,6,41,17,22,31,44,12,35,45,7,0,81,42,11,21,15,20,767
Chhattisgarh,Gaurela-Pendra-Marwahi,Marwahi,2019,13,16,0,6,10,50,14,32,9,12,30,26,22,1,1,18,6,11,78,28,3,29,25,11,30,79,46,37,14,24,20,701
Chhattisgarh,Gaurella-Pendra-Marwahi,Kota,2019,11,18,33,30,31,9,27,61,8,0,32,7,47,5,0,59,7,41,86,13,45,14,19,4,19,2,1,5,23,21,10,688
Chhattisgarh,Mungeli,Lormi,2019,18,13,30,24,6,32,9,85,16,84,15,3,41,6,9,40,15,24,77,24,17,11,30,8,28,25,29,35,13,2,1,770
Chhattisgarh,Mungeli,Mungeli,2019,38,7,36,6,23,17,28,41,2,14,29,17,37,5,5,42,19,28,80,23,44,0,27,3,32,21,6,7,15,2,8,662
Chhattisgarh,Bilaspur,Takhatpur,2019,129,6,116,29,2,48,59,16,25,67,9,37,25,18,9,59,8,11,44,44,2,13,55,14,8,67,19,19,16,13,20,1007
Chhattisgarh,Bilaspur,Bilha,2019,6,2,45,20,28,35,4,56,16,53,19,19,15,8,5,44,11,28,74,20,42,19,27,15,34,26,44,8,1,15,7,746
Chhattisgarh,Bilaspur,Bilaspur,2019,132,0,112,14,5,55,19,81,16,36,11,32,44,1,5,65,5,35,67,42,38,33,27,6,34,99,33,35,24,21,20,1147
Chhattisgarh,Bilaspur,Beltara,2019,28,0,33,18,1,21,33,51,39,84,31,25,43,6,5,43,17,0,35,12,36,8,16,3,18,35,18,17,19,18,14,727
Chhattisgarh,Bilaspur,Masturi,2019,16,19,15,13,21,62,3,7,10,5,25,28,7,4,2,43,7,20,87,36,24,22,17,2,5,32,45,27,14,19,11,648
Chhattisgarh,Janjgir-Champa,Akaltara,2019,88,2,77,16,24,53,32,87,3,85,10,23,17,15,14,56,13,26,54,4,44,0,19,16,1,92,47,8,0,17,10,953
Chhattisgarh,Janjgir-Champa,Janjgir-Champa,2019,114,6,56,34,7,31,19,66,1,24,4,1,11,19,0,77,9,3,25,20,37,8,22,20,26,54,26,31,5,27,19,802
Chhattisgarh,Janjgir-Champa,Sakti,2019,26,9,42,3,33,49,38,2,11,48,35,39,35,17,2,31,9,30,70,28,33,20,27,6,8,65,48,30,11,10,4,819
Chhattisgarh,Janjgir-Champa,Chandrapur,2019,29,4,33,26,1,30,46,67,40,74,11,40,39,4,7,43,15,1,56,60,20,35,20,5,15,54,45,25,18,4,4,871
Chhattisgarh,Janjgir-Champa,Jaijaipur,2019,3,8,16,17,27,60,37,54,10,57,8,6,9,3,9,46,14,20,27,20,40,33,60,13,25,15,44,30,21,17,7,756
Chhattisgarh,Janjgir-Champa,Pamgarh,2019,23,5,49,8,33,53,47,21,20,46,14,13,44,7,9,30,4,34,39,42,50,21,45,7,35,30,0,20,6,20,9,784
Chhattisgarh,Mahasamund,Saraipali,2019,15,14,50,20,12,42,18,5,4,20,14,10,38,0,2,11,2,9,71,18,10,19,31,20,28,48,27,29,8,16,5,616
Chhattisgarh,Mahasamund,Basna,2019,8,6,26,11,10,14,45,54,23,30,21,40,23,20,14,24,4,22,35,3,11,18,16,3,8,56,36,20,23,0,17,641
Chhattisgarh,Mahasamund,Khallari,2019,30,2,17,25,24,27,50,63,34,7,2,9,25,3,8,9,18,37,32,41,21,5,13,14,22,83,38,7,12,6,17,701
Chhattisgarh,Mahasamund,Mahasamund,2019,39,5,30,9,2,7,30,14,19,25,34,39,50,13,7,58,14,37,89,57,46,18,33,3,8,45,38,18,25,25,15,852
Chhattisgarh,Baloda Bazar,Bilaigarh,2019,36,18,20,22,9,15,40,36,20,74,34,20,42,3,11,39,2,0,74,23,42,16,13,10,4,86,28,20,21,15,9,802
Chhattisgarh,Baloda Bazar,Kasdol,2019,12,9,27,5,11,29,26,23,19,48,8,15,13,12,0,39,2,33,44,34,18,1,0,1,9,64,28,40,23,17,8,618
Chhattisgarh,Baloda Bazar,Baloda Bazar,2019,13,10,16,1,6,58,39,59,29,61,23,2,8,3,3,47,13,6,35,31,25,15,8,20,25,66,7,29,21,5,17,701
Chhattisgarh,Baloda Bazar,Bhatapara,2019,9,10,30,30,26,47,10,44,28,61,23,23,23,2,13,27,5,0,2,44,35,15,50,4,4,97,27,5,23,7,11,735
Chhattisgarh,Raipur,Dharsiwa,2019,50,2,49,25,14,16,47,66,40,42,25,40,50,18,6,45,19,45,19,4,19,18,60,20,8,77,20,8,22,40,30,944
Chhattisgarh,Raipur,Raipur City Gramin,2019,120,11,77,13,33,16,7,54,9,49,11,18,38,6,2,38,18,11,22,57,39,17,33,15,7,2,39,0,16,19,15,812
Chhattisgarh,Raipur,Raipur City West,2019,38,9,29,8,1,29,46,65,21,63,8,3,6,7,4,29,11,17,71,31,34,32,2,14,32,4,3,22,10,12,5,666
Chhattisgarh,Raipur,Raipur City North,2019,15,9,24,16,8,53,7,48,18,64,2,1,40,8,10,18,3,35,48,43,12,21,55,5,33,90,46,0,11,17,6,766
Chhattisgarh,Raipur,Raipur City South,2019,2,18,39,21,16,26,40,18,7,50,26,26,18,5,12,1,12,9,57,26,9,9,5,2,9,26,25,32,14,15,14,589
Chhattisgarh,Raipur,Arang,2019,14,14,35,29,21,2,35,5,11,74,30,7,18,4,14,17,9,21,8,28,36,12,46,16,10,23,28,39,5,11,4,626
Chhattisgarh,Raipur,Abhanpur,2019,7,15,48,18,29,8,7,27,13,75,26,39,23,3,6,46,13,11,87,53,7,12,60,15,30,39,2,13,15,11,18,776
Chhattisgarh,Gariaband,Rajim,2019,28,12,19,17,28,64,0,74,28,72,29,8,12,8,14,50,10,14,17,0,34,34,18,9,14,67,29,27,6,8,8,758
Chhattisgarh,Gariaband,Bindrawagarh,2019,10,16,3,0,20,44,35,2,4,9,18,40,29,12,11,57,11,22,29,35,16,32,60,1,13,82,9,10,17,25,10,682
Chhattisgarh,Dhamtari,Sihawa,2019,2,10,26,15,0,39,8,54,3,74,4,21,10,11,1,5,0,33,29,48,1,16,43,2,30,82,49,12,2,23,3,656
Chhattisgarh,Dhamtari,Kurud,2019,1,15,5,1,25,8,32,51,3,69,18,26,31,6,8,24,19,30,4,34,45,7,32,10,34,6,9,19,9,5,15,601
Chhattisgarh,Dhamtari,Dhamtari,2019,40,15,49,21,7,17,50,84,13,39,26,13,21,7,2,52,14,24,16,8,19,19,31,7,29,5,0,0,9,21,16,674
Chhattisgarh,Balod,Sanjari Balod,2019,20,12,20,5,1,5,31,72,20,5,5,16,17,20,9,22,17,12,78,11,17,33,54,3,17,98,39,40,8,10,12,729
Chhattisgarh,Balod,Daundi Lohara,2019,5,15,42,1,27,62,22,59,34,62,16,12,0,19,4,48,18,22,58,20,37,18,46,10,22,62,33,13,0,3,6,796
Chhattisgarh,Balod,Gunderdehi,2019,28,18,5,15,11,49,25,74,19,14,24,25,7,11,7,60,9,6,81,1,32,8,25,4,31,29,9,35,2,6,15,685
Chhattisgarh,Durg,Patan,2019,49,0,47,2,22,42,25,0,18,50,23,18,49,7,13,49,10,41,3,10,47,18,2,18,11,95,33,25,22,30,29,808
Chhattisgarh,Durg,Durg Gramin,2019,5,17,4,12,5,57,22,30,19,7,7,7,26,4,8,55,4,46,52,38,1,35,13,5,29,11,16,11,21,12,3,582
Chhattisgarh,Durg,Durg City,2019,121,9,88,11,6,62,45,50,7,44,22,21,16,3,13,50,18,41,88,2,24,20,57,35,22,67,34,4,2,21,29,1032
Chhattisgarh,Durg,Bhilai Nagar,2019,4,7,47,4,6,65,38,64,4,81,7,14,15,14,2,25,8,14,19,25,33,16,33,12,7,47,2,31,1,0,10,655
Chhattisgarh,Durg,Vaishali Nagar,2019,38,7,7,5,32,8,31,29,11,39,4,10,45,1,12,55,6,17,88,42,25,28,19,7,35,72,25,33,5,9,5,750
Chhattisgarh,Durg,Ahiwara,2019,13,14,16,8,33,25,29,13,24,36,23,10,43,2,14,23,16,10,64,56,0,3,4,3,18,30,27,2,23,8,4,594
Chhattisgarh,Bemetara,Saja,2019,27,2,0,2,30,16,30,6,19,38,3,39,45,7,5,13,0,0,79,10,3,14,30,0,2,23,43,29,5,3,13,536
Chhattisgarh,Bemetara,Bemetara,2019,25,20,13,11,18,61,6,52,36,63,18,32,46,6,14,7,10,50,35,5,33,20,19,0,11,3,1,39,24,3,0,681
